NAME                                VERSION           TYPE                    
@isaacs/cliui                       8.0.2             npm                      
@isaacs/fs-minipass                 4.0.1             npm                      
@isaacs/string-locale-compare       1.1.0             npm                      
@mongodb-js/saslprep                1.2.0             npm                      
@npmcli/agent                       2.2.2             npm                      
@npmcli/agent                       3.0.0             npm                      
@npmcli/arborist                    8.0.0             npm                      
@npmcli/config                      9.0.0             npm                      
@npmcli/fs                          3.1.1             npm                      
@npmcli/fs                          4.0.0             npm                      
@npmcli/git                         6.0.1             npm                      
@npmcli/installed-package-contents  3.0.0             npm                      
@npmcli/map-workspaces              4.0.1             npm                      
@npmcli/metavuln-calculator         8.0.1             npm                      
@npmcli/name-from-folder            3.0.0             npm                      
@npmcli/node-gyp                    4.0.0             npm                      
@npmcli/package-json                6.0.1             npm                      
@npmcli/promise-spawn               8.0.2             npm                      
@npmcli/query                       4.0.0             npm                      
@npmcli/redact                      3.0.0             npm                      
@npmcli/run-script                  9.0.1             npm                      
@opentelemetry/api                  1.9.0             npm                      
@pkgjs/parseargs                    0.11.0            npm                      
@sigstore/bundle                    3.0.0             npm                      
@sigstore/core                      2.0.0             npm                      
@sigstore/protobuf-specs            0.3.2             npm                      
@sigstore/sign                      3.0.0             npm                      
@sigstore/tuf                       3.0.0             npm                      
@sigstore/verify                    2.0.0             npm                      
@tufjs/canonical-json               2.0.0             npm                      
@tufjs/models                       3.0.1             npm                      
@types/webidl-conversions           7.0.3             npm                      
@types/whatwg-url                   11.0.5            npm                      
@your_spotify/root                  1.12.0            npm                      
@your_spotify/server                1.12.0            npm                      
@zeit/schemas                       2.36.0            npm                      
abbrev                              2.0.0             npm     (+1 duplicate)   
abbrev                              3.0.0             npm                      
accepts                             1.3.8             npm     (+1 duplicate)   
acl-libs                            2.3.2-r1          apk                      
ada-libs                            2.9.2-r1          apk                      
agent-base                          7.1.1             npm                      
aggregate-error                     3.1.0             npm                      
ajv                                 8.12.0            npm                      
alpine-baselayout                   3.6.8-r1          apk                      
alpine-baselayout-data              3.6.8-r1          apk                      
alpine-keys                         2.5-r0            apk                      
alpine-release                      3.21.3-r0         apk                      
ansi-align                          3.0.1             npm                      
ansi-regex                          5.0.1             npm     (+1 duplicate)   
ansi-regex                          6.1.0             npm     (+2 duplicates)  
ansi-styles                         4.3.0             npm     (+2 duplicates)  
ansi-styles                         6.2.1             npm     (+1 duplicate)   
apache2-utils                       2.4.62-r0         apk                      
apk-tools                           2.14.6-r3         apk                      
append-field                        1.0.0             npm                      
apr                                 1.7.5-r0          apk                      
apr-util                            1.6.3-r1          apk                      
aproba                              2.0.0             npm                      
arch                                2.2.0             npm                      
archy                               1.0.0             npm                      
arg                                 5.0.2             npm                      
argon2-libs                         20190702-r5       apk                      
array-flatten                       1.1.1             npm                      
asynckit                            0.4.0             npm                      
axios                               1.8.4             npm                      
balanced-match                      1.0.2             npm     (+2 duplicates)  
base-64                             1.0.0             npm                      
bash                                5.2.37-r0         apk                      
basic-auth                          2.0.1             npm                      
bin-links                           5.0.0             npm                      
binary-extensions                   2.3.0             npm                      
bintrees                            1.0.2             npm                      
body-parser                         1.20.3            npm                      
boxen                               7.0.0             npm                      
brace-expansion                     1.1.11            npm                      
brace-expansion                     2.0.1             npm     (+1 duplicate)   
brotli-libs                         1.1.0-r2          apk                      
bson                                6.10.3            npm                      
buffer-equal-constant-time          1.0.1             npm                      
buffer-from                         1.1.2             npm                      
busboy                              1.6.0             npm                      
busybox                             1.37.0-r12        apk                      
busybox-binsh                       1.37.0-r12        apk                      
bytes                               3.0.0             npm                      
bytes                               3.1.2             npm                      
c-ares                              1.34.5-r0         apk                      
ca-certificates                     20241121-r1       apk                      
ca-certificates-bundle              20241121-r1       apk                      
cacache                             18.0.4            npm                      
cacache                             19.0.1            npm                      
call-bind-apply-helpers             1.0.2             npm                      
call-bound                          1.0.4             npm                      
camelcase                           7.0.1             npm                      
catatonit                           0.2.0-r0          apk                      
chalk                               4.1.2             npm     (+1 duplicate)   
chalk                               5.0.1             npm                      
chalk                               5.3.0             npm                      
chalk-template                      0.4.0             npm                      
chownr                              2.0.0             npm                      
chownr                              3.0.0             npm                      
ci-info                             4.1.0             npm                      
cidr-regex                          4.1.1             npm                      
clean-stack                         2.2.0             npm                      
cli-boxes                           3.0.0             npm                      
cli-columns                         4.0.0             npm                      
clipboardy                          3.0.0             npm                      
cmd-shim                            7.0.0             npm                      
color-convert                       2.0.1             npm     (+2 duplicates)  
color-name                          1.1.4             npm     (+2 duplicates)  
combined-stream                     1.0.8             npm                      
commander                           2.20.3            npm                      
common-ancestor-path                1.0.1             npm                      
composer                            2.8.8             binary                   
compressible                        2.0.18            npm                      
compression                         1.7.4             npm                      
concat-map                          0.0.1             npm                      
concat-stream                       1.6.2             npm                      
content-disposition                 0.5.2             npm                      
content-disposition                 0.5.4             npm                      
content-type                        1.0.5             npm                      
cookie                              0.7.1             npm                      
cookie                              0.7.2             npm                      
cookie-parser                       1.4.7             npm                      
cookie-signature                    1.0.6             npm                      
core-util-is                        1.0.3             npm                      
coreutils                           9.5-r2            apk                      
coreutils-env                       9.5-r2            apk                      
coreutils-fmt                       9.5-r2            apk                      
coreutils-sha512sum                 9.5-r2            apk                      
cors                                2.8.5             npm                      
cross-spawn                         7.0.6             npm     (+1 duplicate)   
cssesc                              3.0.0             npm                      
curl                                8.12.1-r1         apk                      
dateformat                          4.6.3             npm                      
debug                               2.6.9             npm     (+1 duplicate)   
debug                               4.3.7             npm                      
debug                               4.4.0             npm                      
deep-extend                         0.6.0             npm                      
delayed-stream                      1.0.0             npm                      
depd                                2.0.0             npm                      
destroy                             1.2.0             npm                      
diff                                5.2.0             npm                      
dotenv                              16.4.7            npm                      
dunder-proto                        1.0.1             npm                      
eastasianwidth                      0.2.0             npm     (+1 duplicate)   
ecdsa-sig-formatter                 1.0.11            npm                      
ee-first                            1.1.1             npm                      
emoji-regex                         8.0.0             npm     (+1 duplicate)   
emoji-regex                         9.2.2             npm     (+2 duplicates)  
encodeurl                           1.0.2             npm                      
encodeurl                           2.0.0             npm                      
encoding                            0.1.13            npm                      
env-paths                           2.2.1             npm                      
err-code                            2.0.3             npm                      
es-define-property                  1.0.1             npm                      
es-errors                           1.3.0             npm                      
es-object-atoms                     1.1.1             npm                      
es-set-tostringtag                  2.1.0             npm                      
escape-html                         1.0.3             npm                      
etag                                1.8.1             npm                      
execa                               5.1.1             npm                      
exponential-backoff                 3.1.1             npm                      
